baseline	height	x	y	sigma_x	sigma_y	fwhm_x	fwhm_y	fwhm	error_baseline	error_height	error_x	error_y	error_sigma_x	error_sigma_y	error_fwhm_x	error_fwhm_y	error_fwhm	slice
330.288	65.603	539.826	1259.792	1.529	1.742	3.601	4.102	3.852	2.820	10.280	0.240	0.273	0.273	0.309	0.642	0.728	0.485	4
354.353	85.230	545.583	1327.306	2.035	2.375	4.791	5.593	5.192	4.109	9.176	0.214	0.260	0.273	0.336	0.643	0.791	0.510	4
312.547	64.619	341.626	1577.718	2.113	2.134	4.976	5.024	5.000	4.210	8.435	0.273	0.275	0.364	0.367	0.856	0.864	0.608	4
332.737	62.817	1192.401	1736.401	3.300	2.203	7.770	5.187	6.478	6.760	7.989	0.387	0.242	0.625	0.444	1.472	1.046	0.903	4
321.366	56.922	1176.626	1739.777	2.843	3.181	6.696	7.491	7.093	11.216	10.210	0.354	0.416	0.802	0.891	1.888	2.099	1.412	4
316.686	73.060	362.501	1762.875	2.889	4.097	6.804	9.649	8.226	8.550	8.304	0.253	0.487	0.514	0.797	1.210	1.878	1.117	4
332.487	58.100	1271.252	549.922	1.995	2.409	4.697	5.672	5.185	4.491	8.312	0.280	0.339	0.391	0.455	0.920	1.072	0.706	4
329.719	79.378	418.908	758.067	2.965	4.183	6.983	9.850	8.416	9.347	9.212	0.260	0.362	0.545	0.696	1.282	1.640	1.041	4
318.757	67.123	498.203	952.487	3.839	2.922	9.039	6.882	7.960	11.931	10.423	0.401	0.254	0.893	0.670	2.103	1.577	1.314	4
343.642	63.619	281.883	1202.460	3.221	2.862	7.585	6.739	7.162	7.331	8.439	0.476	0.358	0.749	0.596	1.763	1.403	1.127	4
329.625	85.994	479.613	1420.761	1.605	1.089	3.779	2.564	3.171	2.425	12.888	0.240	0.163	0.256	0.174	0.604	0.411	0.365	4
313.807	59.961	424.465	1751.203	2.990	3.694	7.041	8.700	7.870	9.957	9.302	0.322	0.391	0.726	0.801	1.709	1.885	1.272	4
333.438	125.449	1640.544	111.964	3.215	5.223	7.570	12.300	9.935	11.672	11.364	0.244	0.366	0.484	0.771	1.140	1.816	1.072	4
337.778	55.471	892.418	463.899	2.598	2.180	6.117	5.134	5.626	5.177	8.239	0.390	0.309	0.563	0.456	1.326	1.075	0.854	4
337.918	69.020	434.478	537.357	3.755	2.158	8.843	5.081	6.962	5.789	7.336	0.618	0.213	0.805	0.351	1.896	0.826	1.034	4
372.990	60.018	1127.969	813.550	1.681	1.643	3.959	3.869	3.914	3.215	11.430	0.320	0.313	0.363	0.356	0.856	0.839	0.599	4
327.091	59.301	625.532	1187.483	2.296	1.472	5.408	3.467	4.438	3.742	11.153	0.431	0.275	0.502	0.329	1.183	0.775	0.707	4
346.937	59.209	259.740	1186.967	2.640	3.312	6.217	7.799	7.008	8.519	8.477	0.294	0.403	0.598	0.745	1.408	1.754	1.124	4
327.571	60.599	511.991	1311.390	2.605	2.385	6.135	5.616	5.876	5.570	7.614	0.314	0.281	0.487	0.443	1.147	1.043	0.775	4
337.365	69.212	576.421	1360.131	1.836	1.745	4.323	4.109	4.216	3.503	10.725	0.284	0.270	0.334	0.317	0.786	0.746	0.542	4
319.030	55.987	509.409	1396.846	2.499	1.967	5.884	4.633	5.258	4.736	8.390	0.369	0.288	0.502	0.415	1.183	0.976	0.767	4
362.093	119.465	1708.029	1402.108	3.683	4.339	8.672	10.218	9.445	10.828	10.119	0.426	0.565	0.649	0.758	1.527	1.786	1.175	4
331.043	58.609	526.780	1435.898	1.472	1.537	3.467	3.619	3.543	3.060	13.040	0.328	0.342	0.361	0.377	0.851	0.888	0.615	4
303.135	71.041	191.417	1688.519	2.256	1.687	5.314	3.972	4.643	3.357	8.461	0.268	0.199	0.326	0.251	0.768	0.591	0.484	4
347.048	48.507	1129.512	174.877	2.743	2.299	6.458	5.413	5.936	6.738	9.097	0.485	0.402	0.742	0.649	1.747	1.528	1.160	4
357.865	53.500	877.637	237.083	0.865	2.701	2.037	6.360	4.199	3.060	14.248	0.223	0.724	0.252	0.823	0.594	1.937	1.013	4
323.647	95.126	486.278	240.081	0.736	1.357	1.733	3.195	2.464	2.099	16.735	0.128	0.234	0.138	0.241	0.325	0.568	0.327	4
338.823	68.702	867.660	705.359	2.260	2.995	5.322	7.052	6.187	6.110	7.686	0.228	0.315	0.390	0.495	0.919	1.165	0.742	4
337.056	57.395	1081.420	729.737	1.656	1.518	3.900	3.573	3.737	2.667	10.311	0.298	0.273	0.333	0.306	0.785	0.721	0.533	4
336.054	72.072	1088.783	748.794	1.282	1.517	3.019	3.572	3.296	2.809	13.675	0.243	0.288	0.263	0.311	0.619	0.732	0.479	4
