n	ChainAxis	ChainDia	CellAxis	DiaP	CellDiaM	GFPfluor	GFPMean	GFPMax	GFPMid	allSepta	manSepta	manTrace	Thr	startX	startY	barX	barY	barW	barH	SeptaPos	ParentID	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11	Frame
186	6.1203	0.7066											10203.7852	689.0000	1540.0000	1071	1450	123	33	 64	-186																							45
187	4.4115	0.7150											10203.7852	725.0000	1553.0000	30	1500	89	33	61.01 	-187																							45
188	5.6184	0.6257											10203.7852	187.0000	1584.0000	149	1500	113	33		-188																							45
189	6.0778	0.5434											10203.7852	209.0000	1603.0000	292	1500	122	33	60 86 	-189																							45
190	17.5513	0.7935											10351.1055	1567.0000	55.0000	444	1500	352	33	89.01 163 237 267 	-190																							49
191	6.8646	0.8124											10351.1055	1015.0000	117.0000	826	1500	138	33	79 	-191																							49
192	6.1916	0.8094											10351.1055	187.0000	423.0000	994	1500	124	33	 19 57	-192																							49
193	10.0858	0.8209											10351.1055	686.0000	624.0000	30	1550	202	33	50 118.01 182 	-193																							49
194	5.6827	0.8591											10351.1055	807.0000	848.0000	262	1550	114	33	 13 65	-194																							49
195	7.8486	0.6952											10351.1055	879.0000	1264.0000	406	1550	158	33	89.01 	-195																							49
196	4.8469	0.7658											10351.1055	1525.0000	1315.0000	594	1550	98	33	 13 60	-196																							49
197	11.0514	0.7469											10351.1055	1494.0000	1316.0000	722	1550	222	33	 55 106 156	-197																							49
198	7.6806	0.7652											10351.1055	1390.0000	1434.0000	974	1550	154	33	21 101 	-198																							49
199	8.7440	0.8743											10351.1055	1061.0000	1485.0000	30	1600	175	33	 49 90 119	-199																							49
200	4.0525	0.8994											10351.1055	727.0000	1793.0000	235	1600	82	33	45 	-200																							49
201	5.2028	0.8227											10868.3047	1950.0000	95.0000	347	1600	105	33	 41	-201																							53
202	4.0943	0.7090											10868.3047	1388.0000	105.0000	482	1600	82	33	36.01 	-202																							53
203	8.0750	0.6647											10868.3047	1374.0000	127.0000	594	1600	162	33	36 72.01 	-203																							53
204	3.5434	0.7055											10868.3047	1410.0000	190.0000	786	1600	71	33	36.01 	-204																							53
205	6.5276	0.7763											10868.3047	1417.0000	272.0000	887	1600	131	33	 49 86	-205																							53
206	11.8349	0.8000											10868.3047	1363.0000	471.0000	30	1650	237	33	 28 112 151	-206																							53
207	4.7822	0.9164											10868.3047	349.0000	796.0000	297	1650	96	33	51.01 	-207																							53
208	5.3856	0.8057											10868.3047	1345.0000	803.0000	423	1650	108	33	 41 91	-208																							53
209	10.7394	0.7885											10868.3047	1294.0000	848.0000	561	1650	215	33	52 122 167 	-209																							53
210	7.2649	0.8227											10868.3047	141.0000	1208.0000	806	1650	146	33	72 134 	-210																							53
211	5.3223	0.8935											10868.3047	381.0000	1274.0000	982	1650	107	33	56 	-211																							53
212	5.5684	0.7489											10868.3047	1367.0000	1507.0000	30	1700	112	33	 34	-212																							53
213	6.6566	0.6302											10868.3047	1331.0000	1572.0000	172	1700	134	33	 75	-213																							53
214	4.6090	0.6758											10868.3047	1404.0000	1618.0000	336	1700	93	33		-214																							53
215	6.8635	0.5746											10868.3047	1388.0000	1638.0000	459	1700	138	33	 63	-215																							53
216	3.7771	0.5180											10868.3047	1370.0000	1644.0000	627	1700	76	33	 44	-216																							53
217	4.3350	0.6188											10868.3047	1387.0000	1725.0000	733	1700	87	33	 27	-217																							53
218	5.9698	0.8334											10868.3047	1446.0000	1895.0000	850	1700	120	33	 50	-218																							53
219	4.8808	0.5668											11295.9453	1765.0000	189.0000	1000	1700	98	33	51.01 	-219																							57
220	5.5170	0.6230											11295.9453	1792.0000	236.0000	30	1750	111	33	 26	-220																							57
221	4.1200	0.6423											11295.9453	1700.0000	271.0000	171	1750	83	33		-221																							57
222	10.1555	0.8286											11295.9453	113.0000	383.0000	284	1750	204	33	76 186 	-222																							57
223	8.8642	0.8156											11295.9453	326.0000	432.0000	518	1750	178	33	82 	-223																							57
224	6.8101	0.8030											11295.9453	897.0000	728.0000	726	1750	137	33	 69	-224																							57
225	4.1136	0.6988											11295.9453	988.0000	817.0000	893	1750	83	33	 20	-225																							57
226	6.4774	0.7856											11295.9453	986.0000	837.0000	1006	1750	130	33	98.01 	-226																							57
