baseline,height,x,y,sigma_x,sigma_y,fwhm_x,fwhm_y,fwhm,error_baseline,error_height,error_x,error_y,error_sigma_x,error_sigma_y,error_fwhm_x,error_fwhm_y,error_fwhm,slice
105.957,39.002,438.334,509.454,1.262,1.176,2.973,2.769,2.871,1.499,6.519,0.211,0.196,0.232,0.216,0.546,0.509,0.373,8
107.461,36.117,118.890,527.467,1.706,1.474,4.017,3.472,3.745,1.753,4.543,0.214,0.184,0.261,0.228,0.615,0.536,0.408,8
109.035,36.544,101.892,563.998,3.636,1.978,8.562,4.657,6.609,2.842,3.144,0.315,0.130,0.528,0.249,1.243,0.585,0.687,8
104.916,52.730,888.922,576.552,2.357,3.778,5.550,8.896,7.223,3.936,3.670,0.109,0.271,0.245,0.450,0.578,1.060,0.604,8
100.757,34.059,787.090,736.671,1.173,2.202,2.762,5.185,3.973,0.696,1.916,0.065,0.124,0.079,0.148,0.187,0.348,0.198,8
102.330,32.745,318.817,109.994,1.527,1.240,3.595,2.919,3.257,1.021,3.511,0.164,0.133,0.187,0.153,0.440,0.361,0.285,8
106.262,65.841,590.737,141.604,1.968,3.942,4.634,9.284,6.959,2.617,3.659,0.084,0.634,0.143,0.555,0.336,1.307,0.675,8
102.411,34.124,252.556,164.262,1.040,1.902,2.450,4.478,3.464,0.779,2.717,0.082,0.151,0.095,0.170,0.224,0.401,0.229,8
96.170,43.077,661.341,181.353,3.391,2.505,7.984,5.898,6.941,3.492,3.279,0.271,0.147,0.447,0.303,1.052,0.714,0.636,8
100.708,59.061,928.302,190.352,3.586,2.756,8.444,6.489,7.467,5.505,4.953,0.298,0.179,0.505,0.378,1.189,0.890,0.742,8
103.910,38.581,640.349,204.554,2.745,2.544,6.464,5.991,6.228,3.620,3.401,0.223,0.165,0.429,0.330,1.011,0.778,0.638,8
104.030,84.601,841.822,274.929,2.116,1.785,4.982,4.204,4.593,1.702,3.870,0.106,0.084,0.137,0.109,0.323,0.257,0.207,8
102.606,36.664,126.598,308.345,1.032,1.607,2.429,3.784,3.107,0.807,3.225,0.090,0.141,0.102,0.156,0.239,0.367,0.219,8
100.063,31.067,259.803,344.811,1.968,1.485,4.633,3.497,4.065,1.087,2.273,0.143,0.107,0.183,0.145,0.431,0.341,0.275,8
102.689,36.641,458.754,359.643,0.966,1.605,2.275,3.781,3.028,0.815,3.467,0.091,0.152,0.101,0.166,0.237,0.391,0.229,8
107.135,126.860,363.123,362.370,1.579,1.457,3.719,3.432,3.576,1.053,3.561,0.045,0.040,0.053,0.046,0.125,0.109,0.083,8
